BUS_I,BASE_KV,PMAX,COUNT
1003,230.0,0.9,1
1004,345.0,0.4,1
1032,20.0,25.6,3
1034,20.0,63.3,3
1101,500.0,3.0,1
1131,20.0,62.0,2
1232,20.0,61.8,2
1301,500.0,1.8,1
1303,345.0,2.2,1
1331,20.0,45.0,2
1333,20.0,98.5,3
1401,500.0,4.2,1
1402,500.0,3.5,1
1431,20.0,158.0,3
2030,20.0,28.4,2
2130,20.0,19.3,4
2202,230.0,3.0,1
2203,230.0,3.4,1
2233,20.0,36.1,3
2332,20.0,13.3,1
2400,500.0,1.7,1
2401,500.0,1.7,1
2402,500.0,2.1,1
2403,500.0,2.1,1
2405,230.0,1.6,1
2406,230.0,1.4,1
2407,230.0,3.4,1
2408,230.0,3.4,1
2409,230.0,3.2,1
2410,230.0,3.1,1
2411,230.0,2.1,1
2431,20.0,16.7,1
2434,20.0,14.9,1
2438,20.0,234.9,7
2439,20.0,16.7,1
2502,230.0,4.7,1
2503,230.0,3.6,1
2533,20.0,20.0,1
2600,500.0,30.0,1
2613,230.0,0.6,1
2615,230.0,1.6,1
2618,230.0,1.7,1
2619,230.0,30.0,1
2630,20.0,39.5,1
2631,20.0,5.2,1
2634,20.0,16.2,1
2637,20.0,0.9,1
2638,20.0,4.1,1
3101,230.0,0.7,1
3103,230.0,0.8,1
3104,115.0,0.6,1
3133,20.0,0.6,1
3135,20.0,5.8,2
3201,230.0,0.9,1
3202,230.0,1.2,1
3203,230.0,1.3,1
3204,230.0,1.3,1
3205,230.0,1.1,1
3234,20.0,68.1,4
3302,230.0,0.7,1
3303,230.0,1.2,1
3304,230.0,1.0,1
3305,230.0,0.8,1
3333,20.0,13.2,2
3401,230.0,1.1,1
3403,230.0,1.0,1
3404,230.0,0.9,1
3405,230.0,0.9,1
3432,20.0,37.5,1
3433,20.0,23.5,2
3501,230.0,1.2,1
3531,20.0,19.8,3
3631,20.0,3.1,2
3731,20.0,2.4,1
3805,230.0,1.0,1
3831,20.0,23.2,1
3835,20.0,33.6,2
3836,20.0,15.0,1
3907,230.0,0.9,1
3913,230.0,0.6,1
3918,230.0,0.6,1
3923,230.0,0.8,1
3924,230.0,0.7,1
3931,20.0,34.4,2
3932,20.0,14.3,1
3933,20.0,79.3,6
4031,20.0,47.2,4
4035,20.0,84.5,4
4039,20.0,42.8,3
4131,20.0,141.1,3
4132,20.0,92.1,4
4231,20.0,59.5,3
4232,20.0,21.2,3
5031,20.0,134.0,2
5032,20.0,277.3,5
6132,20.0,53.0,5
6231,20.0,27.4,2
6235,20.0,36.2,3
6333,20.0,60.8,2
6335,20.0,33.8,3
6401,345.0,0.6,1
6433,20.0,26.6,4
6510,230.0,2.3,1
6533,20.0,85.9,5
7001,345.0,3.5,1
7031,20.0,130.9,4
7032,20.0,47.1,4
8003,230.0,1.3,1
8004,230.0,7.4,1
8005,230.0,2.6,1
8033,20.0,13.9,1
8034,20.0,43.0,2
