GEOHASH,BUS_I,NAME,BUS_TYPE,VOLTAGE,LOAD,GENERATION,GENOK
9wdb95,1001,FOURCORN,PQ,500.0,0.0,,0
9wdb95,1002,FOURCORN,PQ,345.0,2.2371,,0
9wdb95,1003,FOURCORN,PV,230.0,22.126640000000002,0.94,1
9we1bp,1004,SAN_JUAN,PV,345.0,10.07718,0.45,1
9wdb95,1032,FCNGN4CC,PV,20.0,0.0,8.729999,1
9wdb95,1032,FCNGN4CC,PV,20.0,0.0,10.5,1
9wdb95,1032,FCNGN4CC,PV,20.0,0.0,6.38,1
9we1bp,1034,SJUAN_G4,PV,20.0,0.0,19.44,1
9we1bp,1034,SJUAN_G4,PV,20.0,0.0,27.0,1
9we1bp,1034,SJUAN_G4,PV,20.0,0.0,16.82,1
9w1zzg,1101,CORONADO,PV,500.0,44.825410000000005,2.95,1
9w1wf0,1102,CHOLLA,PQ,345.0,1.79873,,0
9w1zzg,1131,CORONADO,PV,20.0,0.0,12.68,1
9w1zzg,1131,CORONADO,PV,20.0,0.0,49.34,1
9w3h8n,1201,MOENKOPI,PQ,500.0,1.53984,,0
9w94m0,1202,NAVAJO,PQ,500.0,8.1075,,0
9w94m0,1232,NAVAJO_2,PV,20.0,0.0,49.77,1
9w94m0,1232,NAVAJO_2,PV,20.0,0.0,11.99,1
9qqk6u,1301,MEAD,PV,500.0,25.883049999999997,1.76,1
9qw0kp,1302,H_ALLEN,PQ,500.0,0.17088,,0
9qw0kp,1303,H_ALLEN,PV,345.0,62.04116,2.24,1
9qqk6u,1331,HOOVER,PV,20.0,0.0,21.67,1
9qqk6u,1331,HOOVER,PV,20.0,0.0,23.28,1
9qw0kp,1333,H_ALLEN,PV,20.0,0.0,4.18,1
9qw0kp,1333,H_ALLEN,PV,20.0,0.0,70.11,1
9qw0kp,1333,H_ALLEN,PV,20.0,0.0,24.23,1
9mzqxj,1401,PALOVRDE,PV,500.0,63.14529,4.25,1
9w01f3,1402,WESTWING,PV,500.0,50.742020000000004,3.49,1
9qndpr,1403,PARKER,PQ,230.0,0.0,,0
9mzqxj,1431,PALOVRD2,PV,20.0,0.0,91.7,1
9mzqxj,1431,PALOVRD2,PV,20.0,0.0,42.1,1
9mzqxj,1431,PALOVRD2,PV,20.0,0.0,24.19,1
9mtzm4,2000,MEXICO,PQ,230.0,22.07188,,0
9mtzm4,2030,MEXICO,PV,20.0,0.0,6.99,1
9mtzm4,2030,MEXICO,PV,20.0,0.0,21.4,1
9mvgw4,2100,IMPERIAL,PQ,230.0,2.4447900000000002,,0
9mvgw4,2130,IMPERIAL,PV,20.0,0.0,8.310001,1
9mvgw4,2130,IMPERIAL,PV,20.0,0.0,5.86,1
9mvgw4,2130,IMPERIAL,PV,20.0,0.0,3.96,1
9mvgw4,2130,IMPERIAL,PV,20.0,0.0,1.15,1
9muccv,2201,MIGUEL,PQ,500.0,0.0,,0
9muccv,2202,MIGUEL,PV,230.0,14.13957,3.05,1
9mudw2,2203,MISSION,PV,230.0,15.30047,3.37,1
9mudw2,2233,MISSION,PV,20.0,0.0,10.35,1
