bus,id,name,bus_i
0,1001,FOURCORN,1
1,1002,FOURCORN,2
2,1003,FOURCORN,3
3,1004,SAN JUAN,4
4,1032,FCNGN4CC,5
5,1034,SJUAN G4,6
6,1101,CORONADO,7
7,1102,CHOLLA,8
8,1131,CORONADO,9
9,1201,MOENKOPI,10
10,1202,NAVAJO,11
11,1232,NAVAJO 2,12
12,1301,MEAD,13
13,1302,H ALLEN,14
14,1303,H ALLEN,15
15,1331,HOOVER,16
16,1333,H ALLEN,17
17,1401,PALOVRDE,18
18,1402,WESTWING,19
19,1403,PARKER,20
20,1431,PALOVRD2,21
21,2000,MEXICO,22
22,2030,MEXICO,23
23,2100,IMPERIAL,24
24,2130,IMPERIAL,25
25,2201,MIGUEL,26
26,2202,MIGUEL,27
27,2203,MISSION,28
28,2233,MISSION,29
29,2301,IMPRLVLY,30
30,2302,IMPRLVLY,31
31,2332,IMPRLVLY,32
32,2400,DEVERS,33
33,2401,LUGO,34
34,2402,MIRALOMA,35
35,2403,VALLEY,36
36,2404,VINCENT,37
37,2405,SYLMAR S,38
38,2406,EAGLROCK,39
39,2407,LITEHIPE,40
40,2408,MESA CAL,41
41,2409,MIRALOMA,42
42,2410,PARDEE,43
43,2411,VINCENT,44
44,2431,LUGO,45
45,2434,VINCENT,46
46,2438,MESA CAL,47
47,2439,MIRALOMA,48
48,2501,SERRANO,49
49,2502,SERRANO,50
50,2503,S.ONOFRE,51
51,2533,S.ONOFRE,52
52,2600,ADELANTO,53
53,2601,RINALDI,54
54,2602,STA E,55
55,2603,VICTORVL,56
56,2604,INTERMT,57
57,2605,STA B1,58
58,2606,STA B2,59
59,2607,VICTORVL,60
60,2608,CASTAIC,61
61,2609,GLENDAL,62
62,2610,HAYNES,63
63,2611,OLIVE,64
64,2612,RINALDI,65
65,2613,RIVER,66
66,2614,STA BLD,67
67,2615,STA E,68
68,2616,STA F,69
69,2617,STA G,70
70,2618,STA J,71
71,2619,SYLMARLA,72
72,2620,VALLEY,73
73,2621,STA B,74
74,2630,HAYNES3G,75
75,2631,OLIVE,76
76,2634,INTERM1G,77
77,2637,OWENS G,78
78,2638,CASTAI4G,79
79,2901,ELDORADO,80
80,2902,MOHAVE,81
81,3101,EMBRCDRD,82
82,3102,MARTIN,83
83,3103,SANMATEO,84
84,3104,MARTIN,85
85,3105,POTRERO,86
86,3133,SANMATEO,87
87,3135,POTRERO,88
88,3201,C.COSTA,89
89,3202,MORAGA,90
90,3203,NEWARK,91
91,3204,PITSBURG,92
92,3205,SOBRANTE,93
93,3234,PITSBURG,94
94,3301,METCALF,95
95,3302,JEFFERSN,96
96,3303,METCALF,97
97,3304,MONTAVIS,98
98,3305,RAVENSWD,99
99,3333,METCALF,100
100,3401,GREGG,101
101,3402,HELMS PP,102
102,3403,MC CALL,103
103,3404,PANOCHE,104
104,3405,WILSON,105
105,3432,HELMS PP,106
106,3433,MC CALL,107
107,3501,FULTON,108
108,3531,FULTON,109
109,3601,HUMBOLDT,110
110,3631,HUMBOLDT,111
111,3701,SUMMIT,112
112,3731,SUMMIT,113
113,3801,DIABLO,114
114,3802,GATES,115
115,3803,MIDWAY,116
116,3804,GATES,117
117,3805,MIDWAY,118
118,3806,MORROBAY,119
119,3831,DIABLO1,120
120,3835,MIDWAY,121
121,3836,MORROBAY,122
122,3891,GATES1,123
123,3892,MIDWAY1,124
124,3893,MIDWAY2,125
125,3894,MIDWAY3,126
126,3895,MIDWAY4,127
127,3896,MIDWAY5,128
128,3897,MIDWAY6,129
129,3901,LOSBANOS,130
130,3902,MOSSLAND,131
131,3903,TESLA,132
132,3904,VACA-DIX,133
133,3905,TABLE MT,134
134,3906,ROUND MT,135
135,3907,BELLOTA,136
136,3908,BRIGHTON,137
137,3909,COLGATE,138
138,3910,CORTINA,139
139,3911,COTWDPGE,140
140,3912,GLENN,141
141,3913,GOLDHILL,142
142,3914,IGNACIO,143
143,3915,LAKEVILE,144
144,3916,LOGAN CR,145
145,3917,LOSBANOS,146
146,3918,MOSSLAND,147
147,3919,PALERMO,148
148,3920,RIO OSO,149
149,3921,ROUND MT,150
150,3922,TABLE MT,151
151,3923,TESLA,152
152,3924,VACA-DIX,153
153,3925,COTWDPGE,154
154,3926,RIO OSO,155
155,3931,ROUND MT,156
156,3932,MOSSLAND,157
157,3933,TESLA,158
158,4001,MALIN,159
159,4002,SUMMER L,160
160,4003,BURNS,161
161,4004,GRIZZLY,162
162,4005,JOHN DAY,163
163,4006,BIG EDDY,164
164,4007,CELILOCA,165
165,4008,MALIN,166
166,4009,BIG EDDY,167
167,4010,CELILO,168
168,4031,MALIN,169
169,4035,JOHN DAY,170
170,4039,DALLES21,171
171,4090,MALIN1,172
172,4091,GRIZZLY1,173
173,4092,GRIZZLY2,174
174,4093,GRIZZLY3,175
175,4094,GRIZZLY4,176
176,4095,GRIZZLY5,177
177,4096,GRIZZLY6,178
178,4097,GRIZZLY7,179
179,4101,COULEE,180
180,4102,HANFORD,181
181,4103,BELL,182
182,4104,BELL,183
183,4131,COULEE,184
184,4132,HANFORD,185
185,4201,NORTH,186
186,4202,WCASCADE,187
187,4203,WILLAMET,188
188,4204,MERIDIAN,189
189,4231,NORTH G3,190
190,4232,WCASCADE,191
191,5001,CANADA,192
192,5002,CANALB,193
193,5003,CA230TO,194
194,5004,CA230,195
195,5031,CANAD G1,196
196,5032,CMAIN GM,197
197,6101,MIDPOINT,198
198,6102,MIDPOINT,199
199,6103,BORAH,200
200,6104,BORAH,201
201,6132,MIDPOINT,202
202,6201,COLSTRP,203
203,6202,GARRISON,204
204,6203,COLSTRP,205
205,6204,GARRISON,206
206,6205,MONTANA,207
207,6231,COLSTRP,208
208,6235,MONTA G1,209
209,6301,BRIDGER,210
210,6302,LARAMIE,211
211,6303,BRIDGER2,212
212,6304,LARAMIE,213
213,6305,NAUGHTON,214
214,6333,BRIDGER,215
215,6335,NAUGHT,216
216,6401,TRACYSPP,217
217,6402,SUMITSPP,218
218,6403,VALMY,219
219,6404,GONDER,220
220,6433,VALMY,221
221,6501,BENLOMND,222
222,6502,CAMP WIL,223
223,6503,EMERY,224
224,6504,MONA,225
225,6505,PINTO,226
226,6506,PINTO PS,227
227,6507,SIGURD,228
228,6508,SPAN FRK,229
229,6509,TERMINAL,230
230,6510,BENLOMND,231
231,6533,EMERY,232
232,7001,COLOEAST,233
233,7002,CRAIG,234
234,7031,COLOEAST,235
235,7032,CRAIG,236
236,8001,OLINDA,237
237,8002,TRACY,238
238,8003,COTWDWAP,239
239,8004,RNCHSECO,240
240,8005,TRACYPMP,241
241,8033,COTWDWAP,242
242,8034,RNCHSECO,243
