number,genname,busname,Pmin,Pmax,minON,minOFF,Gen_Type,InitStatus,InitHour,InitPow,SUCost,SDCost,No_Load_Cost,Ramp_Rate,SUTime,SDTime,Cost1,MW1,Cost2,MW2,Cost3,MW3,Cost4,MW4,AGC_up_Flag,AGC_dn_Flag,Spin_Flag,NonSpin_Flag,AGC_up_Price,AGC_dn_Price,Spin_Price,NonSpin_Price,Must_Run
1,1032C,1032,174.59998,872.9999,96,48,Steam,1,24,873,138896,0,41668.8,20,165,165,3.663100004,872.9999,0,872.9999,0,872.9999,0,872.9999,1,1,1,1,0.01,0.01,0,0,0
2,1032G,1032,0,1050,6,8,Gas,0,4,0,26754,0,5350.8,5,6,15,54.63658518,352.9411765,56.80833229,705.8823529,71.26759594,1050,0,1050,1,1,1,1,0.01,0.01,0,0,0
3,1032S,1032,0,638,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,638,0,638,0,638,0,638,1,1,1,1,0.01,0.01,0,0,0
4,1034C,1034,388.8,1944,96,48,Steam,1,24,1682,319830,0,95949,20,360,360,2.763024092,1682,0,1682,0,1682,0,1944,1,1,1,1,0.01,0.01,0,0,0
5,1034G,1034,0,2700,12,8,Gas,0,4,0,105342,0,31602.6,3.555555554,6,15,54.6664686,1536,62.62359163,2700,0,2700,0,2700,1,1,1,1,0.01,0.01,0,0,0
6,1034W,1034,0,1682,0.25,0.25,Wind-2,1,24,884.091,0,0,0,500,6,15,0,1682,0,1682,0,1682,0,1682,1,1,1,1,0.01,0.01,0,0,0
7,1131C,1131,253.6,1268,96,48,Steam,1,24,1268,42965,0,8593,20,60,60,3.663100004,1268,0,1268,0,1268,0,1268,1,1,1,1,0.01,0.01,0,0,0
8,1131G,1131,0,4934,6,8,Gas,1,24,2419,180212,0,54063.6,5.4856,6,15,38.903436,2220.480317,40.8622104,3547.101389,53.2677816,4125.405137,67.8497688,4934,1,1,1,1,0.01,0.01,0,0,0
9,1232C,1232,995.4,4977,96,48,Steam,1,24,396,138651,0,41595.3,20,195,195,2.972343922,4977,0,4977,0,4977,0,4977,1,1,1,1,0.01,0.01,0,0,0
10,1232H,1232,181,1199,0.25,0.25,Hydro-3,1,24,646.122,0,0,0,5.995,6,15,0,1199,0,1199,0,1199,0,1199,1,1,1,1,0.01,0.01,0,0,0
11,1331G,1331,0,2167,6,8,Gas,1,24,696.6364,146625,0,43987.5,5.30303,6,15,41.14889261,669.940547,53.60786287,2167,0,2167,0,2167,1,1,1,1,0.01,0.01,0,0,0
12,1331H,1331,352,2328,4,4,Hydro-3,1,24,665.206,0,0,0,11.64,120,120,0,2328,0,2328,0,2328,0,2328,1,1,1,1,0.01,0.01,0,0,0
13,1333C,1333,83.6,418,168,48,Steam,1,24,418,28432,0,5686.4,20,60,60,3.453779936,418,0,418,0,418,0,418,1,1,1,1,0.01,0.01,0,0,0
14,1333G,1333,0,7011,12,8,Gas,1,24,2000,408979,0,122693.7,5.5691,6,15,38.69615035,5897.615917,54.06636951,5999.761246,54.76993588,6225.757785,67.48825103,7011,1,1,1,1,0.01,0.01,0,0,0
15,1333S,1333,0,2423,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,2423,0,2423,0,2423,0,2423,1,1,1,1,0.01,0.01,0,0,0
16,1431G,1431,0,9170,6,8,Gas,1,24,696.4929572,375219,0,112565.7,6,6,15,40.86313641,1802.131007,42.23476616,4602.583337,53.26495543,7472.59612,71.26759594,9170,1,1,1,1,0.01,0.01,0,0,0
17,1431N,1431,2000,4210,24,24,Nuclear,1,24,1666,0,0,0,2,1440,1440,2,4210,0,4210,0,4210,0,4210,0,0,0,0,0.01,0.01,0,0,0
18,1431S,1431,0,2419,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,2419,0,2419,0,2419,0,2419,1,1,1,1,0.01,0.01,0,0,0
19,2030E,2030,0,699,96,48,Steam,1,24,520,138896,0,41668.8,20,165,165,3.663100004,520,0,520,0,520,0,699,1,1,1,1,0.01,0.01,0,0,0
20,2030G,2030,0,2140,8,8,Gas,1,24,87,126782,0,38034.6,5.11555554,6,15,38.6961519,1302.7,52.98396183,1792.3,57.25948072,1944.8,67.48825374,2140,1,1,1,1,0.01,0.01,0,0,0
21,2130E,2130,0,831.0001,96,48,Steam,1,24,407,138896,0,41668.8,20,165,165,3.663100004,407,0,407,0,407,0,831.0001,1,1,1,1,0.01,0.01,0,0,0
22,2130G,2130,0,586,6,8,Gas,1,24,496.0141725,34316,0,6863.2,5.2992,6,15,39.90552708,139.175,59.49551311,372.11,67.6440543,452.685,69.59747171,586,1,1,1,1,0.01,0.01,0,0,0
23,2130H,2130,60,396,4,4,Hydro-3,1,24,212.474,0,0,0,1.98,120,120,0,396,0,396,0,396,0,396,1,1,1,1,0.01,0.01,0,0,0
24,2130S,2130,0,115,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,115,0,115,0,115,0,115,1,1,1,1,0.01,0.01,0,0,0
25,2233DG,2233,0,1035,24,24,Gas,1,24,0,70270,0,14054,5.1846,15,15,57.29776765,219.9008499,58.10154395,433.9376771,58.5034321,690.4886686,77.16252478,1035,1,1,1,1,0.01,0.01,0,0,0
26,2233EG,2233,0,1837,6,8,Gas,0,4,0,152730,0,45819,4.22,30,30,59.13497063,486.7390263,62.80937657,1093.696728,91.05637224,1502.73344,102.1370027,1837,1,1,1,1,0.01,0.01,0,0,0
27,2233TG,2233,0,733,6,8,Gas,0,4,0,47167,0,9433.4,7.38,15,15,59.99615952,343.044,63.84280324,545.352,91.57308558,631.846,92.03238632,733,1,1,1,1,0.01,0.01,0,0,0
28,2332S,2332,0,1333,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,1333,0,1333,0,1333,0,1333,1,1,1,1,0.01,0.01,0,0,0
29,2431S,2431,0,1666,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,1666,0,1666,0,1666,0,1666,1,1,1,1,0.01,0.01,0,0,0
30,2434S,2434,0,1489,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,1489,0,1489,0,1489,0,1489,1,1,1,1,0.01,0.01,0,0,0
31,2438EG,2438,0,2292,96,24,Gas,1,24,0,65644,0,19693.2,5.72444,30,30,54.88643876,494.1804223,55.2883269,985.428023,56.0921032,1794.886756,61.94818767,2292,1,1,1,1,0.01,0.01,0,0,0
32,2438RG,2438,0,5451,24,24,Gas,1,24,0,157212,0,47163.6,5.5776,75,75,53.96783727,315.2138246,54.71420098,2166.911781,59.19238322,4571.333513,74.5789581,5451,1,1,1,1,0.01,0.01,0,0,0
