,county,latitude_x,longitude_x,state,latitude_y,longitude_y,area[m^2],name,year,gentype,axis,azimuth[deg],tilt[deg],battery,capacity[MW]
0,Alameda,37.706599,-122.098766,CA,37.633717,-122.139709,43424,City of Hayward WWTP,2010,PV,single-axis,180.0,0.0,,1.6
1,Alameda,37.706599,-122.098766,CA,37.692032,-121.717392,43919,"Whitethorn Solar, LLC",2016,PV,fixed-tilt,180.0,15.0,,3.3
2,Alameda,37.706599,-122.098766,CA,37.711937,-122.150444,20253,Preferred Freezer San Leandro,2017,PV,single-axis,228.0,5.0,,2.0
3,Alameda,37.706599,-122.098766,CA,37.669945,-121.873604,8967,Pleasanton - Amador Valley High School,2019,PV,fixed-tilt,,0.0,,1.1
4,Alameda,37.706599,-122.098766,CA,37.478867,-121.931572,19098,Fremont - Kato Rd,2016,PV,single-axis,245.0,4.0,,1.4
5,Alameda,37.706599,-122.098766,CA,37.717717,-121.885443,28710,Santa Rita Jail Hybrid,2016,PV,single-axis,180.0,11.0,batteries,1.5
6,Butte,39.658926,-121.72651,CA,39.373371,-121.684357,26069,Gridley Main,2013,PV,single-axis,0.0,0.0,,1.0
7,Butte,39.658926,-121.72651,CA,39.373287,-121.681458,55563,Gridley Main Two,2013,PV,single-axis,0.0,0.0,,2.5
8,Butte,39.658926,-121.72651,CA,39.651562,-121.650009,21320,Butte College Main Campus Solar,2011,PV,fixed-tilt,195.0,18.0,,3.6
9,Butte,39.658926,-121.72651,CA,39.723239,-121.815698,27067,Sierra Nevada Brewing Co Hybrid,2007,PV,single-axis,180.0,5.0,batteries,1.7
10,Contra Costa,37.93501,-122.024961,CA,38.00172,-121.703674,24844,California PV Energy at ISD WWTP,2014,PV,fixed-tilt,168.0,30.0,,1.0
11,Contra Costa,37.93501,-122.024961,CA,38.019463,-121.864372,313232,"Columbia Solar Energy, LLC",2015,PV,fixed-tilt,203.0,20.0,,19.2
12,Contra Costa,37.93501,-122.024961,CA,37.972282,-121.720345,4717,CSD 2-Freedom High,2013,PV,fixed-tilt,182.0,15.0,,1.1
13,Contra Costa,37.93501,-122.024961,CA,37.920586,-121.755783,1561,CSD 2-Heritage High,2013,PV,fixed-tilt,102.0,10.0,,1.3
14,Contra Costa,37.93501,-122.024961,CA,37.945221,-122.37851,166053,Marin Clean Energy Solar One,2017,PV,single-axis,180.0,15.0,,10.5
15,Contra Costa,37.93501,-122.024961,CA,38.02512,-122.274498,17144,Bio-Rad,2020,PV,fixed-tilt,180.0,15.0,,2.4
16,Contra Costa,37.93501,-122.024961,CA,37.84692,-121.617332,146625,Byron Highway Solar,2021,PV,single-axis,180.0,,,5.0
17,Contra Costa,37.93501,-122.024961,CA,38.000908,-121.748695,44726,Oakley Solar Project,2013,PV,single-axis,180.0,5.0,,1.5
18,Contra Costa,37.93501,-122.024961,CA,37.919113,-122.342995,31407,CA Dept of Public Health at Richmond,2017,PV,single-axis,179.0,12.0,,2.2
19,Contra Costa,37.93501,-122.024961,CA,37.770061,-121.966774,100190,Bishop Ranch - BR 1-Y,2022,PV,single-axis,153.0,8.0,batteries,1.1
20,El Dorado,38.741021,-120.761446,CA,38.62891,-120.982567,25311,Deer Creek 2,2021,PV,fixed-tilt,54.0,25.0,,1.3
21,El Dorado,38.741021,-120.761446,CA,38.69854,-120.830673,10325,El Dorado County,2021,PV,fixed-tilt,180.0,15.0,,1.5
22,El Dorado,38.741021,-120.761446,CA,38.637939,-121.055977,38451,"El Dorado Solar, LLC",2021,PV,fixed-tilt,18.0,25.0,,1.5
23,El Dorado,38.741021,-120.761446,CA,38.615501,-121.057632,17624,Broadridge Cogen,2011,PV,single-axis,180.0,,,1.0
24,El Dorado,38.741021,-120.761446,CA,38.649422,-121.073349,22920,Blue Shld Of Cal- El Dorado Hlls Mtr B,2019,PV,single-axis,180.0,10.0,,1.5
25,Fresno,36.743848,-119.765291,CA,36.177353,-120.108421,373343,Huron Solar Station,2012,PV,fixed-tilt,180.0,25.0,,20.0
