usps,fips,county,latitude,longitude,geocode
AL,01001,Autauga County,32.532237,-86.64644,djf3h6
AL,01003,Baldwin County,30.659218,-87.746067,dj3w7m
AL,01005,Barbour County,31.870253,-85.405104,djem29
AL,01007,Bibb County,33.015893,-87.127148,djf5c6
AL,01009,Blount County,33.977358,-86.56644,dn43q1
AL,01011,Bullock County,32.101759,-85.717261,djen97
AL,01013,Butler County,31.751667,-86.681969,djdkes
AL,01015,Calhoun County,33.770516,-85.827909,dn4bng
AL,01017,Chambers County,32.915504,-85.394032,djg72b
AL,01019,Cherokee County,34.069515,-85.654242,dn51ff
AL,01021,Chilton County,32.854051,-86.726607,djf6fk
AL,01023,Choctaw County,31.990954,-88.248889,dj9jzz
AL,01025,Clarke County,31.685521,-87.818624,dj9s38
AL,01027,Clay County,33.2704,-85.863525,djfvq0
AL,01029,Cleburne County,33.671964,-85.516126,djgpw1
AL,01031,Coffee County,31.402258,-85.989602,djdfek
AL,01033,Colbert County,34.703112,-87.801457,dn1t6j
AL,01035,Conecuh County,31.430926,-86.988722,djd4u9
AL,01037,Coosa County,32.931445,-86.243482,djfem6
AL,01039,Covington County,31.243987,-86.448721,djd98z
AL,01041,Crenshaw County,31.732826,-86.319222,djdseb
AL,01043,Cullman County,34.131923,-86.869267,dn44pj
AL,01045,Dale County,31.430654,-85.609476,dje4gc
AL,01047,Dallas County,32.33354,-87.114356,djdpcw
AL,01049,DeKalb County,34.460929,-85.803992,dn4up3
AL,01051,Elmore County,32.597229,-86.142735,djf9ry
AL,01053,Escambia County,31.122287,-87.16841,djd103
AL,01055,Etowah County,34.047641,-86.034263,dn4cdn
AL,01057,Fayette County,33.716157,-87.764292,djcxfc
AL,01059,Franklin County,34.441989,-87.842814,dn1ecj
AL,01061,Geneva County,31.092382,-85.821022,djdbzh
AL,01063,Greene County,32.844497,-87.9642,djc6y7
AL,01065,Hale County,32.752796,-87.623061,djcdq4
AL,01067,Henry County,31.516978,-85.239971,dje7k3
AL,01069,Houston County,31.158183,-85.296411,dje370
AL,01071,Jackson County,34.764114,-85.980056,dn4vg2
AL,01073,Jefferson County,33.553444,-86.896536,djfnys
AL,01075,Lamar County,33.787085,-88.087431,dn125w
AL,01077,Lauderdale County,34.904122,-87.650997,dn1wt6
AL,01079,Lawrence County,34.529776,-87.321865,dn1ukv
AL,01081,Lee County,32.604064,-85.353048,djg33x
AL,01083,Limestone County,34.810239,-86.981399,dn4nh9
AL,01085,Lowndes County,32.147888,-86.650586,djdquh
AL,01087,Macon County,32.387027,-85.692887,djg04p
AL,01089,Madison County,34.764238,-86.55108,dn4my2
AL,01091,Marengo County,32.247591,-87.791091,dj9x6q
AL,01093,Marion County,34.138219,-87.881551,dn1d0n
AL,01095,Marshall County,34.309564,-86.321668,dn4e5t
