geohash,   I,ID,      PG,        QG,        QT,        QB,     VS,    IREG,     MBASE,     ZR,         ZX,         RT,         XT,     GTAP,STAT, RMPCT,      PT,        PB,    O1,    F1,  O2,    F2,  O3,    F3,  O4,    F4,WMOD, WPF,NREG,Bus  Number,Bus  Name,Lat,Long
9mumuf,2533,S,1899.0,127.613,1100.0,-820,1.009,2503,1999.0,0.0,0.2,0.0,0.0,1,1,100,1999.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2533,S.ONOFRE,33.370212,-117.557619
9mvffm,2332,S,878.0,42.001,590.0,-364,1.035,2302,1333.0,0.0,0.2,0.0,0.0,1,1,100,1333.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2332,IMPRLVLY,32.856407,-115.56459
9mvgw4,2130,S,79.0,28.722,86.0,-86,1.035,2100,115.0,0.0,0.2,0.0,0.0,1,1,100,115.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2130,IMPERIAL,32.971469,-115.394435
9mzqxj,1431,S,1353.0,409.166,1000.0,-1000,1.035,1401,2419.0,0.0,0.2,0.0,0.0,1,1,100,2419.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,1431,PALOVRD2,33.513802,-113.239936
9q5g0q,2631,S,232.0,32.063,350.0,-350,1.015,2611,520.0,0.0,0.2,0.0,0.0,1,1,100,520.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2631,OLIVE,34.31131,-118.455696
9q713t,3835,S,150.0,28.865,500.0,-500,1.035,3805,1333.0,0.0,0.2,0.0,0.0,1,1,100,1333.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,3835,MIDWAY,35.408481,-119.456003
9q92vz,3932,S,1355.0,-242.757,1150.0,-500,1.0,3902,1426.0,0.0,0.2,0.0,0.0,1,1,100,1426.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,3932,MOSSLAND,36.737604,-121.732796
9q9w99,3933,S,623.937,88.652,800.0,-500,1.02,3933,1333.0,0.0,0.2,0.0,0.0,1,1,100,1333.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,3933,TESLA,37.71247,-121.565283
9qdbm8,3433,S,745.0,25.641,939.0,-562,1.0,3403,1426.0,0.0,0.2,0.0,0.0,1,1,100,1426.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,3433,MC CALL,36.609214,-119.639632
9qh18k,2438,S,251.0,32.102,800.0,-800,1.009,2408,1146.0,0.0,0.2,0.0,0.0,1,1,100,1146.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2438,MESA CAL,34.037233,-118.11012
9qh3ky,2439,S,1000.0,-242.186,800.0,-800,1.02,2409,1666.0,0.0,0.2,0.0,0.0,1,1,100,1666.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2439,MIRALOMA,34.008174,-117.564527
9qhe90,2431,S,500.0,-46.886,800.0,-800,1.05,2431,1666.0,0.0,0.2,0.0,0.0,1,1,100,1666.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2431,LUGO,34.369347,-117.368876
9qhh0n,2434,S,500.0,-337.252,500.0,-500,1.02,2434,1489.0,0.0,0.2,0.0,0.0,1,1,100,1489.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2434,VINCENT,34.488498,-118.12147
9qw0kp,1333,S,1266.0,217.32,1300.0,-1300,1.005,1303,2423.0,0.0,0.2,0.0,0.0,1,1,100,2423.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,1333,H ALLEN,36.649771,-115.134207
9r3wzq,4031,S,140.4,-168.528,250.0,-250,1.08,4001,427.0,0.0,0.2,0.0,0.0,1,1,100,427.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4031,MALIN,42.004704,-121.318052
9rwgcr,6132,S,180.0,-75.0,75.0,-75,1.03,6102,395.0,0.0,0.2,0.0,0.0,1,1,100,395.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,6132,MIDPOINT,42.888986,-114.199277
9wdb95,1032,S,520.0,-3.332,360.0,-360,1.014,1002,638.0,0.0,0.2,0.0,0.0,1,1,100,638.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,1032,FCNGN4CC,36.670897,-108.581419
9x47er,6533,S,566.1,78.734,500.0,-500,1.065,6503,1407.0,0.0,0.2,0.0,0.0,1,1,100,1407.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,6533,EMERY,40.030278,-109.188333
9x5w98,7032,S,428.4,22.012,230.0,-230,1.015,7002,738.0,0.0,0.2,0.0,0.0,1,1,100,738.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,7032,CRAIG,40.521809,-107.506652
c2c10y,5032,S,2701.8,410.28,2205.0,-2205,1.055,5002,4410.2,0.0,0.2,0.0,0.0,1,1,100,4410.2,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,5032,CMAIN GM,49.429986,-122.303722
