ID,NAME,BASEKV,BUSTYPE,AREA,ZONE,OWNER,VM,VA,VMAX0,VMIN0,VMAX1,VMIN1
1001,'FOURCORN',500.0000,1,1,3,1,1.03401,5.5785,1.10000,0.90000,1.10000,0.90000
1002,'FOURCORN',345.0000,1,1,3,1,1.01400,8.3685,1.10000,0.90000,1.10000,0.90000
1003,'FOURCORN',230.0000,1,1,10,1,0.97318,-0.2920,1.10000,0.90000,1.10000,0.90000
1004,'SAN_JUAN',345.0000,1,1,10,1,1.03000,18.8075,1.10000,0.90000,1.10000,0.90000
1032,'FCNGN4CC',20.0000,2,1,10,1,1.01390,8.9503,1.10000,0.90000,1.10000,0.90000
1034,'SJUAN_G4',20.0000,2,1,10,1,1.03341,20.4253,1.10000,0.90000,1.10000,0.90000
1101,'CORONADO',500.0000,1,1,3,1,1.01000,-13.5878,1.10000,0.90000,1.10000,0.90000
1102,'CHOLLA',345.0000,1,1,3,1,0.99465,-4.7874,1.10000,0.90000,1.10000,0.90000
1131,'CORONADO',20.0000,2,1,3,1,1.00946,-12.8589,1.10000,0.90000,1.10000,0.90000
1201,'MOENKOPI',500.0000,1,1,3,1,1.09136,-6.6183,1.10000,0.90000,1.10000,0.90000
1202,'NAVAJO',500.0000,1,1,3,1,1.08000,-3.8673,1.10000,0.90000,1.10000,0.90000
1232,'NAVAJO_2',20.0000,2,1,3,1,1.07990,-3.0358,1.10000,0.90000,1.10000,0.90000
1301,'MEAD',500.0000,1,1,3,1,1.04500,-9.8666,1.10000,0.90000,1.10000,0.90000
1302,'H_ALLEN',500.0000,1,1,9,1,1.02442,-11.6849,1.10000,0.90000,1.10000,0.90000
1303,'H_ALLEN',345.0000,1,1,9,1,1.00500,-15.2256,1.10000,0.90000,1.10000,0.90000
1331,'HOOVER',20.0000,2,1,3,1,1.04505,-8.7861,1.10000,0.90000,1.10000,0.90000
1333,'H_ALLEN',20.0000,2,1,9,1,1.00792,-13.7701,1.10000,0.90000,1.10000,0.90000
1401,'PALOVRDE',500.0000,1,1,3,1,1.03500,-14.7822,1.10000,0.90000,1.10000,0.90000
1402,'WESTWING',500.0000,1,1,3,1,1.05895,-20.3570,1.10000,0.90000,1.10000,0.90000
1403,'PARKER',230.0000,2,1,3,1,1.03527,-14.4059,1.10000,0.90000,1.10000,0.90000
1431,'PALOVRD2',20.0000,2,1,3,1,1.04004,-12.4298,1.10000,0.90000,1.10000,0.90000
2000,'MEXICO',230.0000,1,4,7,1,1.00000,-16.7754,1.10000,0.90000,1.10000,0.90000
2030,'MEXICO',20.0000,2,4,7,1,1.00135,-16.0721,1.10000,0.90000,1.10000,0.90000
2100,'IMPERIAL',230.0000,1,2,2,1,1.03500,-12.4531,1.10000,0.90000,1.10000,0.90000
2130,'IMPERIAL',20.0000,2,2,2,1,1.03554,-12.0979,1.10000,0.90000,1.10000,0.90000
2201,'MIGUEL',500.0000,1,2,2,1,0.99375,-26.5153,1.10000,0.90000,1.10000,0.90000
2202,'MIGUEL',230.0000,1,2,2,1,0.99067,-27.7043,1.10000,0.90000,1.10000,0.90000
2203,'MISSION',230.0000,1,2,2,1,1.00500,-27.9287,1.10000,0.90000,1.10000,0.90000
2233,'MISSION',20.0000,2,2,2,1,1.00686,-27.6476,1.10000,0.90000,1.10000,0.90000
2301,'IMPRLVLY',500.0000,1,2,2,1,1.03560,-14.9787,1.10000,0.90000,1.10000,0.90000
2302,'IMPRLVLY',230.0000,1,2,2,1,1.03500,-13.8866,1.10000,0.90000,1.10000,0.90000
2332,'IMPRLVLY',20.0000,2,2,2,1,1.03520,-13.6518,1.10000,0.90000,1.10000,0.90000
2400,'DEVERS',500.0000,1,2,2,1,1.02954,-19.7851,1.10000,0.90000,1.10000,0.90000
2401,'LUGO',500.0000,1,2,2,1,1.05000,-13.6953,1.10000,0.90000,1.10000,0.90000
2402,'MIRALOMA',500.0000,1,2,2,1,1.03174,-18.0034,1.10000,0.90000,1.10000,0.90000
2403,'VALLEY',500.0000,1,2,2,1,1.02708,-22.3928,1.10000,0.90000,1.10000,0.90000
2404,'VINCENT',500.0000,1,2,2,1,1.03914,-9.9290,1.10000,0.90000,1.10000,0.90000
2405,'SYLMAR_S',230.0000,1,2,2,1,1.01146,-11.0446,1.10000,0.90000,1.10000,0.90000
2406,'EAGLROCK',230.0000,1,2,2,1,1.00777,-14.9652,1.10000,0.90000,1.10000,0.90000
2407,'LITEHIPE',230.0000,1,2,2,1,0.97489,-20.8953,1.10000,0.90000,1.10000,0.90000
2408,'MESA_CAL',230.0000,1,2,2,1,1.00900,-9.1772,1.10000,0.90000,1.10000,0.90000
2409,'MIRALOMA',230.0000,1,2,2,1,1.02000,-18.7773,1.10000,0.90000,1.10000,0.90000
