I,ID,STAT,AREA,ZONE,PL,QL,IP,IQ,YP,YQ,OWNER,SCALE,INTRPT,DGENP,DGENQ,DGENF
1002,'1',1,1,3,0.000,0.000,223.710,0.000,0.000,583.546,1,1,0,0.000,0.000,0
1003,'1',1,1,10,0.000,0.000,2212.664,0.000,0.000,-387.354,1,1,0,0.000,0.000,0
1004,'1',1,1,10,0.000,0.000,1007.718,0.000,0.000,-5.204,1,1,0,0.000,0.000,0
1101,'1',1,1,3,0.000,0.000,4482.541,0.000,0.000,134.344,1,1,0,0.000,0.000,0
1102,'1',1,1,3,0.000,0.000,179.873,0.000,0.000,-23.907,1,1,0,0.000,0.000,0
1201,'1',1,1,3,0.000,0.000,153.984,0.000,0.000,1.711,1,1,0,0.000,0.000,0
1202,'1',1,1,3,0.000,0.000,810.750,0.000,0.000,-246.169,1,1,0,0.000,0.000,0
1301,'1',1,1,3,0.000,0.000,2588.305,0.000,0.000,-323.093,1,1,0,0.000,0.000,0
1302,'1',1,1,9,0.000,0.000,17.088,0.000,0.000,-2.183,1,1,0,0.000,0.000,0
1303,'1',1,1,9,0.000,0.000,6204.116,0.000,0.000,-805.276,1,1,0,0.000,0.000,0
1401,'1',1,1,3,0.000,0.000,6314.529,0.000,0.000,-1423.225,1,1,0,0.000,0.000,0
1402,'1',1,1,3,0.000,0.000,5074.202,0.000,0.000,536.538,1,1,0,0.000,0.000,0
2000,'1',1,4,7,0.000,0.000,2207.188,0.000,0.000,-287.916,1,1,0,0.000,0.000,0
2100,'1',1,2,2,0.000,0.000,244.479,0.000,0.000,-46.066,1,1,0,0.000,0.000,0
2202,'1',1,2,2,0.000,0.000,1413.957,0.000,0.000,-249.625,1,1,0,0.000,0.000,0
2203,'1',1,2,2,0.000,0.000,1530.047,0.000,0.000,-247.960,1,1,0,0.000,0.000,0
2400,'1',1,2,2,0.000,0.000,741.606,0.000,0.000,-65.877,1,1,0,0.000,0.000,0
2401,'1',1,2,2,0.000,0.000,756.558,0.000,0.000,-85.945,1,1,0,0.000,0.000,0
2402,'1',1,2,2,0.000,0.000,944.185,0.000,0.000,-69.616,1,1,0,0.000,0.000,0
2403,'1',1,2,2,0.000,0.000,924.912,0.000,0.000,-33.229,1,1,0,0.000,0.000,0
2405,'1',1,2,2,0.000,0.000,734.331,0.000,0.000,-20.175,1,1,0,0.000,0.000,0
2406,'1',1,2,2,0.000,0.000,659.215,0.000,0.000,36.185,1,1,0,0.000,0.000,0
2407,'1',1,2,2,0.000,0.000,1610.419,0.000,0.000,35.064,1,1,0,0.000,0.000,0
2408,'1',1,2,2,0.000,0.000,1554.955,0.000,0.000,64.200,1,1,0,0.000,0.000,0
2409,'1',1,2,2,0.000,0.000,1413.334,0.000,0.000,74.998,1,1,0,0.000,0.000,0
2410,'1',1,2,2,0.000,0.000,1411.456,0.000,0.000,-51.802,1,1,0,0.000,0.000,0
2411,'1',1,2,2,0.000,0.000,959.465,0.000,0.000,-65.677,1,1,0,0.000,0.000,0
2502,'1',1,2,2,0.000,0.000,2087.843,0.000,0.000,79.306,1,1,0,0.000,0.000,0
