gen,197
GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN
1032,873,0,174.6,-174.6,1,100,1,873,174.6,0,0,0,0,0,0,0,20,0,0,0,0
1032,0,0,210,-210,1,100,0,1050,0,0,0,0,0,0,0,0,5,0,0,0,0
1032,0,0,127.6,-127.6,1,100,1,638,0,0,0,0,0,0,0,0,500,0,0,0,0
1034,1682,0,388.8,-388.8,1,100,1,1944,388.8,0,0,0,0,0,0,0,20,0,0,0,0
1034,0,0,540,-540,1,100,0,2700,0,0,0,0,0,0,0,0,3.55556,0,0,0,0
1034,884.091,0,336.4,-336.4,1,100,1,1682,0,0,0,0,0,0,0,0,500,0,0,0,0
1131,1268,0,253.6,-253.6,1,100,1,1268,253.6,0,0,0,0,0,0,0,20,0,0,0,0
1131,2419,0,986.8,-986.8,1,100,1,4934,0,0,0,0,0,0,0,0,5.4856,0,0,0,0
1232,396,0,995.4,-995.4,1,100,1,4977,995.4,0,0,0,0,0,0,0,20,0,0,0,0
1232,646.122,0,239.8,-239.8,1,100,1,1199,181,0,0,0,0,0,0,0,5.995,0,0,0,0
1331,696.636,0,433.4,-433.4,1,100,1,2167,0,0,0,0,0,0,0,0,5.30303,0,0,0,0
1331,665.206,0,465.6,-465.6,1,100,1,2328,352,0,0,0,0,0,0,0,11.64,0,0,0,0
1333,418,0,83.6,-83.6,1,100,1,418,83.6,0,0,0,0,0,0,0,20,0,0,0,0
1333,2000,0,1402.2,-1402.2,1,100,1,7011,0,0,0,0,0,0,0,0,5.5691,0,0,0,0
1333,0,0,484.6,-484.6,1,100,1,2423,0,0,0,0,0,0,0,0,500,0,0,0,0
1431,696.493,0,1834,-1834,1,100,1,9170,0,0,0,0,0,0,0,0,6,0,0,0,0
1431,1666,0,842,-842,1,100,1,4210,2000,0,0,0,0,0,0,0,2,0,0,0,0
1431,0,0,483.8,-483.8,1,100,1,2419,0,0,0,0,0,0,0,0,500,0,0,0,0
2030,520,0,139.8,-139.8,1,100,1,699,0,0,0,0,0,0,0,0,20,0,0,0,0
2030,87,0,428,-428,1,100,1,2140,0,0,0,0,0,0,0,0,5.11556,0,0,0,0
2130,407,0,166.2,-166.2,1,100,1,831,0,0,0,0,0,0,0,0,20,0,0,0,0
2130,496.014,0,117.2,-117.2,1,100,1,586,0,0,0,0,0,0,0,0,5.2992,0,0,0,0
2130,212.474,0,79.2,-79.2,1,100,1,396,60,0,0,0,0,0,0,0,1.98,0,0,0,0
2130,0,0,23,-23,1,100,1,115,0,0,0,0,0,0,0,0,500,0,0,0,0
2233,0,0,207,-207,1,100,1,1035,0,0,0,0,0,0,0,0,5.1846,0,0,0,0
2233,0,0,367.4,-367.4,1,100,0,1837,0,0,0,0,0,0,0,0,4.22,0,0,0,0
2233,0,0,146.6,-146.6,1,100,0,733,0,0,0,0,0,0,0,0,7.38,0,0,0,0
2332,0,0,266.6,-266.6,1,100,1,1333,0,0,0,0,0,0,0,0,500,0,0,0,0
2431,0,0,333.2,-333.2,1,100,1,1666,0,0,0,0,0,0,0,0,500,0,0,0,0
2434,0,0,297.8,-297.8,1,100,1,1489,0,0,0,0,0,0,0,0,500,0,0,0,0
2438,0,0,458.4,-458.4,1,100,1,2292,0,0,0,0,0,0,0,0,5.72444,0,0,0,0
2438,0,0,1090.2,-1090.2,1,100,1,5451,0,0,0,0,0,0,0,0,5.5776,0,0,0,0
2438,0,0,229.2,-229.2,1,100,1,1146,0,0,0,0,0,0,0,0,500,0,0,0,0
2438,0,0,822,-822,1,100,1,4110,0,0,0,0,0,0,0,0,7.654,0,0,0,0
2438,789.738,0,292,-292,1,100,1,1460,221,0,0,0,0,0,0,0,7.3,0,0,0,0
2438,2321.71,0,642,-642,1,100,1,3210,0,0,0,0,0,0,0,0,500,0,0,0,0
2438,0,0,1163.4,-1163.4,1,100,1,5817,0,0,0,0,0,0,0,0,7.1824,0,0,0,0
2439,0,0,333.2,-333.2,1,100,1,1666,0,0,0,0,0,0,0,0,500,0,0,0,0
2533,0,0,399.8,-399.8,1,100,1,1999,0,0,0,0,0,0,0,0,500,0,0,0,0
2630,155,0,789.4,-789.4,1,100,1,3947,0,0,0,0,0,0,0,0,8,0,0,0,0
