Bus  Number,Bus  Name,Base kV,Owner Name,Code,Voltage (pu),Angle (deg),Normal Vmax (pu),Normal Vmin (pu),Emergency Vmax (pu),Emergency Vmin (pu),Lat,Long
2503,S.ONOFRE,230,,1,1.009,-25.91,1.1,0.9,1.1,0.9,33.370212,-117.557619
2533,S.ONOFRE,20,,2,1.0101,-25.38,1.1,0.9,1.1,0.9,33.370212,-117.557619
2600,ADELANTO,500,,1,1.0537,-7.78,1.1,0.9,1.1,0.9,34.552197,-117.437004
2601,RINALDI,500,,1,1.0464,-8.85,1.1,0.9,1.1,0.9,34.285768,-118.484219
2602,STA E,500,,1,1.0208,-9.03,1.1,0.9,1.1,0.9,34.176429,-118.360306
2603,VICTORVL,500,,1,1.0544,-8.44,1.1,0.9,1.1,0.9,34.565195,-117.32157
2604,INTERMT,345,,1,1.03,36.26,1.1,0.9,1.1,0.9,39.500381,-112.580826
2605,STA B1,287,,1,1.0201,-7.22,1.1,0.9,1.1,0.9,34.015353,-118.204015
2606,STA B2,287,,1,1.0201,-7.22,1.1,0.9,1.1,0.9,34.015353,-118.204015
2607,VICTORVL,287,,1,1.0467,-8.07,1.1,0.9,1.1,0.9,34.565195,-117.32157
2608,CASTAIC,230,,1,1.015,-9.5,1.1,0.9,1.1,0.9,34.589863,-118.663274
2609,GLENDAL,230,,1,0.9986,-7.89,1.1,0.9,1.1,0.9,34.146111,-118.255
2610,HAYNES,230,,1,1.004,6.14,1.1,0.9,1.1,0.9,33.697565,-117.911364
2611,OLIVE,230,,1,1.015,-9.64,1.1,0.9,1.1,0.9,34.31131,-118.455696
2612,RINALDI,230,,1,1.0136,-9.98,1.1,0.9,1.1,0.9,34.285768,-118.484219
2613,RIVER,230,,1,0.9937,-4.52,1.1,0.9,1.1,0.9,34.037697,-118.230212
2614,STA BLD,230,,1,1.0012,-6.06,1.1,0.9,1.1,0.9,34.015353,-118.204015
2615,STA E,230,,1,1.0044,-9.21,1.1,0.9,1.1,0.9,34.176429,-118.360306
2616,STA F,230,,1,0.9957,-4.84,1.1,0.9,1.1,0.9,34.015353,-118.204015
2617,STA G,230,,1,0.9967,-6.5,1.1,0.9,1.1,0.9,34.10948,-118.254629
2618,STA J,230,,1,1.0108,-11.09,1.1,0.9,1.1,0.9,34.234263,-118.550256
2619,SYLMARLA,230,,1,1.0121,-9.65,1.1,0.9,1.1,0.9,34.317296,-118.495046
2620,VALLEY,230,,1,1.0088,-10.11,1.1,0.9,1.1,0.9,33.796667,-117.224444
2621,STA B,138,,1,1.0121,-7.07,1.1,0.9,1.1,0.9,34.015353,-118.204015
2630,HAYNES3G,20,,2,1.0049,6.79,1.1,0.9,1.1,0.9,33.697565,-117.911364
