F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
1,10,0.0015845,0.03169,0,2000,2000,2000,0,0,1,-360,360
1,11,0.004825,0.0965,0,2001,2001,2001,0,0,1,-360,360
2,4,0.000265,0.0053,0,5000,5000,5000,0,0,1,-360,360
2,8,0.000994,0.01988,0,2000,2000,2000,0,0,1,-360,360
2,227,0.00218,0.0436,0,800,800,800,0,0,1,-360,360
4,233,0.006845,0.1369,0,500,500,500,0,0,1,-360,360
4,234,0.0055,0.11,0,500,500,500,0,0,1,-360,360
7,18,0.001055,0.0211,0,2500,2500,2500,0,0,1,-360,360
10,19,0.001296,0.02592,0,2001,2001,2001,0,0,1,-360,360
10,80,0.0006845,0.01369,0,2001,2001,2001,0,0,1,-360,360
11,14,0.001055,0.0211,0,2001,2001,2001,0,0,1,-360,360
13,14,0.001055,0.0211,0,2001,2001,2001,0,0,1,-360,360
13,56,0.001262,0.02524,0,2001,2001,2001,0,0,1,-360,360
15,228,0.006845,0.1369,0,600,600,600,0,0,1,-360,360
18,30,0.0014835,0.02967,0,1800,1800,1800,0,0,1,-360,360
18,33,0.0014835,0.02967,0,1800,1800,1800,0,0,1,-360,360
20,24,0.003517,0.07034,0,2001,2001,2001,0,0,1,-360,360
22,27,0.0026995,0.05399,0,888,888,888,0,0,1,-360,360
22,31,0.0026995,0.05399,0,888,888,888,0,0,1,-360,360
26,30,0.001262,0.02524,0,1800,1800,1800,0,0,1,-360,360
27,28,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
27,51,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
33,36,0.0004525,0.00905,0,3600,3600,3600,0,0,1,-360,360
34,35,0.0003765,0.00753,0,2400,2400,2400,0,0,1,-360,360
34,37,0.0005625,0.01125,0,3600,3600,3600,0,0,1,-360,360
34,49,0.00064,0.0128,0,2400,2400,2400,0,0,1,-360,360
34,81,0.00155,0.031,0,3600,3600,3600,0,0,1,-360,360
37,125,-0.0004675,-0.00935,0,2400,2400,2400,0,0,1,-360,360
37,127,-0.0004675,-0.00935,0,2400,2400,2400,0,0,1,-360,360
