StartBusName,EndBusName,X,FlowLim,Active
1001,1201,0.03169,2000,1
1001,1202,0.0965,2001,1
1002,1004,0.0053,5000,1
1002,1102,0.01988,2000,1
1002,1102,0.01988,2000,1
1002,6506,0.0436,800,1
1004,7001,0.1369,500,1
1004,7002,0.11,500,1
1101,1401,0.0211,2500,1
1101,1401,0.0211,2500,1
1201,1202,0.00536,2001,1
1201,1402,0.02592,2001,1
1201,2901,0.01369,2001,1
1202,1302,0.0211,2001,1
1202,1402,0.03489,2001,1
1301,1302,0.0211,2001,1
1301,1402,0.0211,2001,1
1301,1402,0.0673,2001,1
1301,2603,0.02524,2001,1
1301,2901,0.0965,2001,1
1303,6507,0.1369,600,1
1401,1402,0.0096,2001,1
1401,1402,0.0096,2001,1
1401,2301,0.02967,1800,1
1401,2400,0.02967,1800,1
1403,2100,0.07034,2001,1
2000,2202,0.05399,888,1
2000,2302,0.05399,888,1
2100,2302,0.07034,2001,1
2201,2301,0.02524,1800,1
2202,2203,0.02886,888,1
2202,2203,0.02886,888,1
2202,2503,0.02886,888,1
2203,2503,0.02886,888,1
2203,2503,0.02886,888,1
2400,2403,0.00905,3600,1
2401,2402,0.00753,2400,1
2401,2402,0.0075,2400,1
2401,2404,0.01125,3600,1
2401,2404,0.01125,3600,1
2401,2501,0.0128,2400,1
2401,2603,0.0041,3001,1
2401,2901,0.02779,3600,1
2401,2902,0.031,3600,1
2402,2501,0.00457,3600,1
2403,2501,0.0093,3600,1
2404,3893,-0.00935,2400,1
2404,3895,-0.00935,2400,1
2404,3897,-0.0084,2400,1
2405,2406,0.0264,3070,1
2405,2410,0.01187,3070,1
2405,2410,0.01187,3070,1
2406,2408,0.0258,2320,1
2406,2410,0.07034,1160,1
2407,2408,0.0127,2320,1
2408,2409,0.05399,2320,1
2408,2409,0.05399,2320,1
2408,2411,0.0395,2320,1
2408,2502,0.02886,1500,1
2409,2502,0.02886,888,1
2409,2503,0.02886,888,1
2410,2411,0.03649,2320,1
2410,2411,0.03399,2320,1
2502,2503,0.02886,888,1
2502,2503,0.02886,888,1
2600,2601,0.01861,2001,1
2600,2602,0.01668,2001,1
2600,2603,0.00159,2001,1
2600,2603,0.00159,2001,1
2601,2603,0.01884,2001,1
2603,2901,0.02524,2001,1
2604,6404,0.0965,2001,1
2604,6504,0.0245,2001,1
2604,6504,0.0245,2001,1
2605,2607,0.07905,2001,1
2606,2607,0.07905,2001,1
2608,2611,0.03346,2001,1
2608,2612,0.038,2001,1
2608,2618,0.04677,2001,1
2608,2619,0.03422,2001,1
2609,2615,0.00723,2001,1
2609,2617,0.00536,2001,1
2610,2613,0.03422,2001,1
2610,2613,0.03669,2001,1
2610,2616,0.03074,2001,1
2610,2617,0.04296,2001,1
2611,2612,0.00434,2001,1
2612,2615,0.01583,2001,1
2612,2615,0.01583,2001,1
2612,2618,0.00967,2001,1
2612,2618,0.00967,2001,1
2612,2618,0.00971,2001,1
2612,2618,0.00971,2001,1
2612,2619,0.00393,2001,1
2612,2619,0.00393,2001,1
2612,2619,0.00393,2001,1
2612,2620,0.01116,2001,1
2612,2620,0.01116,2001,1
2613,2616,0.00366,2001,1
2613,2617,0.00586,2001,1
2614,2616,0.01025,2001,1
2614,2616,0.01025,2001,1
2615,2617,0.01244,2001,1
2615,2617,0.01244,2001,1
2615,2620,0.00979,2001,1
2616,2617,0.01189,2001,1
2901,2902,0.01415,3600,1
3101,3102,0.0127,1120,1
3101,3102,0.0127,1120,1
3102,3103,0.0127,1120,1
3102,3103,0.0127,1120,1
3102,3103,0.0127,1120,1
3102,3302,0.0127,1120,1
3103,3204,0.0127,1120,1
3103,3204,0.0127,1120,1
3103,3305,0.0127,1120,1
3103,3305,0.0127,1120,1
3104,3105,0.02886,888,1
3201,3202,0.0127,1120,1
3201,3202,0.0127,1120,1
3201,3203,0.0127,1120,1
3201,3203,0.0127,1120,1
3201,3923,0.02886,888,1
3201,3923,0.02886,888,1
3201,3924,0.0127,1120,1
3201,3924,0.0127,1120,1
3202,3203,0.0127,1120,1
3202,3203,0.02886,1120,1
3202,3204,0.0127,1120,1
3202,3205,0.0127,2001,1
3202,3924,0.02886,888,1
3202,3924,0.02886,888,1
3203,3204,0.0127,1120,1
3203,3303,0.0127,1120,1
3203,3303,0.02886,1120,1
3203,3305,0.0127,1120,1
3203,3923,0.02886,888,1
3203,3923,0.02886,888,1
3204,3205,0.0127,1120,1
3204,3205,0.0127,1120,1
3204,3923,0.02886,888,1
3204,3923,0.02886,888,1
3205,3914,0.02886,888,1
3205,3915,0.02886,888,1
3301,3902,0.01297,2450,1
3301,3903,0.00881,2001,1
3302,3304,0.0127,1120,1
3302,3304,0.0127,1120,1
3303,3304,0.0127,1120,1
3303,3304,0.0127,1120,1
3303,3304,0.0127,1120,1
3303,3918,0.02886,888,1
3303,3918,0.02886,888,1
3305,3923,0.02886,888,1
3401,3402,0.02886,888,1
3401,3402,0.02886,888,1
3401,3404,0.02886,888,1
3401,3405,0.02886,888,1
3401,3405,0.02886,888,1
3401,3804,0.02886,888,1
3403,3404,0.02886,888,1
3403,3804,0.02886,888,1
3404,3804,0.02886,888,1
3404,3804,0.02886,888,1
3404,3917,0.02886,888,1
3404,3918,0.02886,888,1
3405,3907,0.02886,888,1
3405,3907,0.02886,888,1
3501,3914,0.02886,888,1
3501,3915,0.02886,888,1
3601,3925,0.02886,70,1
3701,3926,0.02886,2001,1
3701,3926,0.02886,2001,1
3801,3802,0.01937,2001,1
3801,3803,0.02087,2001,1
3801,3803,0.02087,2001,1
3802,3891,0.016,2450,1
3802,3901,0.01985,2450,1
3803,3891,-0.00998,2450,1
3803,3892,-0.00935,2134,1
3803,3894,-0.00944,2134,1
3803,3896,-0.00935,2134,1
3803,3901,0.0147,2450,1
3804,3806,0.02886,888,1
3805,3806,0.02886,888,1
3892,3893,0.02659,3600,1
3894,3895,0.02662,3600,1
3896,3897,0.02517,3600,1
3901,3902,0.01297,2450,1
3901,3903,0.03644,2450,1
3901,8002,0.01585,1800,1
3903,3904,0.00359,2450,1
3903,3905,0.01035,2001,1
3903,8002,0.05719,2450,1
3904,3905,0.01229,2667,1
3905,3906,0.00346,3500,1
3906,4001,0.00456,1600,1
3906,4001,0.00456,1600,1
3907,3908,0.02886,888,1
3907,3923,0.02886,888,1
3907,8004,0.09268,2001,1
3908,3920,0.02886,888,1
3909,3919,0.02886,888,1
3909,3920,0.02886,888,1
3910,3911,0.16938,838,1
3910,3924,0.10101,838,1
3911,3912,0.09268,747,1
3911,3916,0.11381,838,1
3911,3921,0.06678,752,1
3911,3921,0.0654,752,1
3911,3921,0.06642,752,1
3911,3924,0.27403,747,1
3911,8003,0.09268,2001,1
3911,8003,0.09268,2001,1
3912,3924,0.2046,747,1
3913,3920,0.02886,888,1
3913,3920,0.02886,888,1
3913,3923,0.02886,888,1
3913,8004,0.09268,2001,1
3915,3924,0.02886,888,1
3916,3924,0.16106,838,1
3919,3922,0.02886,888,1
3920,3922,0.02886,888,1
3923,8005,0.09268,2001,1
3923,8005,0.09268,2001,1
4001,4090,0.01382,3600,1
4001,4094,0.01502,3020,1
4001,4097,0.01413,3020,1
4001,4204,0.00239,2001,1
