MODEL,STARTUP,SHUTDOWN,NCOST,COST0,COST1,COST2
2,138896,0,1,84940.2,0,0
2,26754,0,3,0.0116086,47.8511,11430.3
2,0,0,1,0,0,0
2,319830,0,1,194586,0,0
2,105342,0,2,57.8621,60969.2,0
2,0,0,1,0,0,0
2,42965,0,1,19512.1,0,0
2,180212,0,3,0.00275498,29.9307,112871
2,138651,0,1,90590.3,0,0
2,0,0,1,0,0,0
2,146625,0,2,50.8051,84034,0
2,0,0,1,0,0,0
2,28432,0,1,12098.1,0,0
2,408979,0,3,0.000891506,33.9913,249311
2,0,0,1,0,0,0
2,375219,0,3,0.00185507,32.2196,232353
2,0,0,1,4212,0,0
2,0,0,1,0,0,0
2,138896,0,1,84621.5,0,0
2,126782,0,3,0.00684924,29.5249,78060.6
2,138896,0,1,84865.1,0,0
2,34316,0,3,0.0292585,42.7573,13383.3
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,70270,0,3,0.0140265,48.9707,29024.3
2,152730,0,3,0.0166762,42.8355,94430.4
2,47167,0,3,0.026864,47.5648,19859.4
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,65644,0,3,0.00144978,53.2587,39830.2
2,157212,0,3,0.00149285,50.6028,96253.8
2,0,0,1,0,0,0
2,253632,0,3,0.00394473,50.7707,152721
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,259961,0,3,0.00185294,47.7077,159801
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,129121,0,3,0.00467512,35.7007,78179.2
2,0,0,1,0,0,0
2,171027,0,1,104510,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,9000,0,1,5642.97,0,0
2,30852,0,3,0.0293521,48.8363,12797.9
2,1744,0,1,1974.46,0,0
2,16774,0,1,13389.6,0,0
2,159022,0,3,0.000870447,54.0419,96204.4
2,15000,0,3,0.0178734,39.8145,5976.13
2,0,0,1,0,0,0
2,72063,0,2,40.933,28185,0
2,27100,0,3,0.0250515,51.1562,10855
2,0,0,1,0,0,0
2,55842,0,3,0.00749609,55.8893,22532.4
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,1080,0,3,0.0635797,58.3334,619.262
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,130719,0,3,0.00393889,57.3962,79337.9
2,0,0,1,0,0,0
2,30000,0,3,0.00320616,51.4198,18419.6
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,60557,0,2,39.2283,24128.9,0
2,0,0,1,0,0,0
2,104370,0,3,0.00740563,54.1066,61777.9
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,65139,0,3,0.00252072,34.3912,40549.9
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,47224,0,1,20257.8,0,0
2,50652,0,3,0.00101409,38.2479,20435.3
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,11449,0,2,41.1417,4566,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,254995,0,3,0.00900036,37.9817,152414
2,0,0,1,0,0,0
2,0,0,1,1202,0,0
2,0,0,1,0,0,0
2,101486,0,1,63997.8,0,0
2,55897,0,3,0.0248178,27.2334,34512.9
2,0,0,1,0,0,0
2,43776,0,3,0.00973349,32.8755,26942.5
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,82344,0,3,0.00272493,54.1468,44689.6
2,0,0,1,0,0,0
2,231789,0,1,151903,0,0
2,129121,0,3,0.00134397,53.2356,63077.3
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,10373,0,2,64.1359,1972.89,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,170471,0,1,104863,0,0
2,12221,0,1,11649.1,0,0
2,6261,0,2,55.5971,2415.75,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,231789,0,1,143595,0,0
2,0,0,1,0,0,0
2,134932,0,1,84071.5,0,0
2,158061,0,3,0.013416,64.2273,62799.6
2,0,0,1,0,0,0
2,43335,0,1,18012.7,0,0
2,138896,0,1,84716.8,0,0
2,58409,0,3,0.00861201,48.4894,33420.7
2,0,0,1,0,0,0
2,266078,0,1,163479,0,0
2,94648,0,3,0.00320809,32.6356,58555.1
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,183879,0,1,114781,0,0
2,285045,0,3,0.00366083,33.2756,173446
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,115098,0,1,71653.6,0,0
2,47649,0,3,0.0158415,26.3913,21207.9
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,256104,0,3,0.00317209,32.8814,157055
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0

