from,to,circuit,r,x,rateA,status,ratio
1001,1002,1,1E-07,1.1E-02,0.00,1,1.0
1001,1002,2,1E-07,1.1E-02,0.00,1,1.0
1002,1003,1,2.8E-04,1.38E-02,430.00,1,1.0
1002,1003,2,2.9E-04,1.39E-02,430.00,1,1.0
1002,1032,1,1E-07,5E-04,0.00,1,1.0
1004,1034,1,1E-07,5E-04,0.00,1,1.0
1101,1102,1,1E-07,1.46E-02,0.00,1,1.0
1101,1102,2,1E-07,1.46E-02,0.00,1,1.0
1101,1131,1,1E-07,5E-04,0.00,1,1.0
1202,1232,1,1E-07,5E-04,2000.00,1,1.0
1301,1331,1,1E-07,5E-04,0.00,1,1.0
1302,1303,1,1E-07,7.2E-03,1500.00,1,1.0
1303,1333,1,1E-07,5E-04,0.00,1,1.0
1401,1403,1,2.8E-04,1.38E-02,430.00,1,1.0
1401,1431,1,1E-07,5E-04,3066.00,1,1.0
2000,2030,1,1E-07,5E-04,0.00,1,1.0
2100,2130,1,1E-07,5E-04,0.00,1,1.0
2100,2400,1,2.8E-04,1.38E-02,430.00,1,1.0
2201,2202,1,1E-07,5E-03,0.00,1,1.0
2201,2202,2,1E-07,5E-03,0.00,1,1.0
2203,2233,1,1E-07,5E-04,0.00,1,1.0
2301,2302,1,1E-07,5E-03,0.00,1,1.0
2301,2302,2,1E-07,5E-03,0.00,1,1.0
2302,2332,1,1E-07,5E-04,0.00,1,1.0
2401,2431,1,1E-07,1E-04,0.00,1,1.0
2402,2409,1,1E-07,5E-03,0.00,1,1.0
2404,2411,1,1E-07,1.149E-02,1120.00,1,1.0
2404,2411,2,1E-07,1.149E-02,1120.00,1,1.0
2404,2411,3,1E-07,1.149E-02,1120.00,1,1.0
2405,2619,1,1E-07,1.15E-03,0.00,1,1.0
2408,2438,1,1E-07,5E-04,0.00,1,1.0
2409,2439,1,1E-07,1E-04,0.00,1,1.0
2411,2434,1,1E-07,1E-04,0.00,1,1.0
2501,2502,1,1E-07,5E-03,0.00,1,1.0
2501,2502,2,1E-07,5E-03,0.00,1,1.0
2501,2502,3,1E-07,5E-03,0.00,1,1.0
2503,2533,1,1E-07,5E-04,0.00,1,1.0
2601,2612,1,2.6E-04,1.386E-02,0.00,1,1.0
2602,2615,1,1.3E-04,1.386E-02,0.00,1,1.0
2602,2615,2,1.3E-04,1.386E-02,0.00,1,1.0
2603,2607,1,2E-04,2.338E-02,0.00,1,1.0
2604,2634,1,1E-07,5E-04,0.00,1,1.0
2605,2621,1,5.9E-04,1.491E-02,0.00,1,1.0
2606,2621,1,5.9E-04,1.491E-02,0.00,1,1.0
2608,2638,1,1E-07,5E-04,0.00,1,1.0
2610,2630,1,1E-07,5E-04,0.00,1,1.0
2611,2631,1,1E-07,5E-04,0.00,1,1.0
2612,2637,1,1E-07,5E-04,0.00,1,1.0
2614,2621,1,3E-04,1.33E-02,0.00,1,1.0
2614,2621,2,3E-04,1.34E-02,0.00,1,1.0
3102,3104,1,8.9E-04,2.99E-02,250.00,1,1.0
3103,3133,1,1E-07,5E-04,0.00,1,1.0
3105,3135,1,1E-07,5E-04,0.00,1,1.0
3204,3234,1,1E-07,5E-04,0.00,1,1.0
3301,3303,1,3E-04,1.74E-02,840.00,1,1.0
3301,3303,2,3E-04,1.74E-02,840.00,1,1.0
3301,3303,3,3E-04,1.74E-02,840.00,1,1.0
3303,3333,1,1E-07,5E-04,0.00,1,1.0
3402,3432,1,1E-07,5E-04,0.00,1,1.0
3403,3433,1,1E-07,5E-04,0.00,1,1.0
3501,3531,1,1E-07,5E-04,0.00,1,1.0
3601,3631,1,1E-07,5E-04,0.00,1,1.0
3701,3731,1,1E-07,5E-04,0.00,1,1.0
3701,6402,1,8.9E-04,2.99E-02,250.00,1,1.0
3701,6402,2,8.9E-04,2.99E-02,250.00,1,1.0
3801,3831,1,1E-07,5E-04,0.00,1,1.0
3802,3804,1,3E-04,1.74E-02,840.00,1,1.0
3803,3805,1,3E-04,1.74E-02,840.00,1,1.0
3803,3805,2,2E-04,1.19E-02,1120.00,1,1.0
3805,3835,1,1E-07,5E-04,0.00,1,1.0
3806,3836,1,1E-07,5E-04,0.00,1,1.0
3901,3917,1,3E-04,1.74E-02,840.00,1,1.0
3902,3918,1,3E-04,1.74E-02,840.00,1,1.0
3902,3932,1,1E-07,5E-04,0.00,1,1.0
3903,3923,1,3E-04,1.74E-02,840.00,1,1.0
3904,3924,1,2E-04,1.25E-02,1120.00,1,1.0
3905,3922,1,3E-04,1.74E-02,840.00,1,1.0
3906,3921,1,1E-04,1.74E-02,840.00,1,1.0
3911,3925,1,8.9E-04,2.99E-02,250.00,1,1.0
3920,3926,1,8.9E-04,2.99E-02,250.00,1,1.0
3920,3926,2,8.9E-04,2.99E-02,250.00,1,1.0
3921,3931,1,1E-07,5E-04,0.00,1,1.0
3923,3933,1,1E-07,5E-04,0.00,1,1.0
4001,4008,1,1E-07,7.2E-03,1500.00,1,1.0
4001,4031,1,1E-07,5E-04,2000.00,1,1.0
4005,4035,1,1E-07,5E-04,5000.00,1,1.0
4006,4009,1,2E-04,1.181E-02,1008.00,1,1.0
4006,4009,2,9E-05,7.35E-03,1300.00,1,1.0
4007,4010,1,1E-07,2.21E-03,2500.00,1,1.0
4009,4039,1,1E-07,5E-04,2000.00,1,1.0
4101,4131,1,1E-07,5E-04,5000.00,1,1.0
4102,4132,1,1E-07,5E-04,5000.00,1,1.0
4103,4104,1,1E-07,1E-02,0.00,1,1.0
4201,4231,1,1E-07,5E-04,0.00,1,1.0
4202,4232,1,1E-07,5E-04,0.00,1,1.0
5001,5031,1,1E-07,5E-04,0.00,1,1.0
5002,5003,1,1E-07,1E-02,0.00,1,1.0
5002,5032,1,1E-07,5E-04,0.00,1,1.0
6101,6102,1,1E-07,7.2E-03,1500.00,1,1.0
6102,6132,1,1E-07,5E-04,0.00,1,1.0
6103,6104,1,3E-04,1.81E-02,0.00,1,1.0
6201,6203,1,3E-04,1.81E-02,0.00,1,1.0
6201,6231,1,1E-07,5E-04,0.00,1,1.0
6202,6204,1,3E-04,1.81E-02,0.00,1,1.0
6205,6235,1,1E-07,5E-04,0.00,1,1.0
6301,6303,1,3E-04,1.81E-02,0.00,1,1.0
6302,6304,1,3E-04,1.81E-02,0.00,1,1.0
6303,6333,1,1E-07,5E-04,0.00,1,1.0
6305,6335,1,1E-07,5E-04,0.00,1,1.0
6401,6402,1,8.9E-04,2.99E-02,250.00,1,1.0
6401,6402,2,8.9E-04,2.99E-02,250.00,1,1.0
6403,6433,1,1E-07,5E-04,0.00,1,1.0
6501,6510,1,3E-04,1.81E-02,0.00,1,1.0
6501,6510,2,3E-04,1.81E-02,0.00,1,1.0
6503,6533,1,1E-07,5E-04,0.00,1,1.0
6505,6506,1,1E-07,1.95E-02,0.00,1,1.0
7001,7031,1,1E-07,5E-04,0.00,1,1.0
7002,7032,1,1E-07,5E-04,0.00,1,1.0
8001,8003,1,1E-04,1.74E-02,840.00,1,1.0
8002,8005,1,3E-04,1.74E-02,840.00,1,1.0
8003,8033,1,1E-07,5E-04,0.00,1,1.0
8004,8034,1,1E-07,5E-04,0.00
