parent,status,Pp,Qp,Pi,Qi,Pz,Qz
1002,1,0.000,0.000,223.710,0.000,0.000,583.546
1003,1,0.000,0.000,2212.664,0.000,0.000,-387.354
1004,1,0.000,0.000,1007.718,0.000,0.000,-5.204
1101,1,0.000,0.000,4482.541,0.000,0.000,134.344
1102,1,0.000,0.000,179.873,0.000,0.000,-23.907
1201,1,0.000,0.000,153.984,0.000,0.000,1.711
1202,1,0.000,0.000,810.750,0.000,0.000,-246.169
1301,1,0.000,0.000,2588.305,0.000,0.000,-323.093
1302,1,0.000,0.000,17.088,0.000,0.000,-2.183
1303,1,0.000,0.000,6204.116,0.000,0.000,-805.276
1401,1,0.000,0.000,6314.529,0.000,0.000,-1423.225
1402,1,0.000,0.000,5074.202,0.000,0.000,536.538
2000,1,0.000,0.000,2207.188,0.000,0.000,-287.916
2100,1,0.000,0.000,244.479,0.000,0.000,-46.066
2202,1,0.000,0.000,1413.957,0.000,0.000,-249.625
2203,1,0.000,0.000,1530.047,0.000,0.000,-247.960
2400,1,0.000,0.000,741.606,0.000,0.000,-65.877
2401,1,0.000,0.000,756.558,0.000,0.000,-85.945
2402,1,0.000,0.000,944.185,0.000,0.000,-69.616
2403,1,0.000,0.000,924.912,0.000,0.000,-33.229
2405,1,0.000,0.000,734.331,0.000,0.000,-20.175
2406,1,0.000,0.000,659.215,0.000,0.000,36.185
2407,1,0.000,0.000,1610.419,0.000,0.000,35.064
2408,1,0.000,0.000,1554.955,0.000,0.000,64.200
2409,1,0.000,0.000,1413.334,0.000,0.000,74.998
2410,1,0.000,0.000,1411.456,0.000,0.000,-51.802
2411,1,0.000,0.000,959.465,0.000,0.000,-65.677
2502,1,0.000,0.000,2087.843,0.000,0.000,79.306
2503,1,0.000,0.000,1646.515,0.000,0.000,-178.564
2600,1,0.000,0.000,-1591.978,0.000,0.000,0.000
2602,1,0.000,0.000,87.531,0.000,0.000,-11.190
2604,1,0.000,0.000,1791.945,0.000,0.000,0.000
2608,1,0.000,0.000,88.030,0.000,0.000,-11.318
2609,1,0.000,0.000,120.790,0.000,0.000,-24.191
2610,1,0.000,0.000,88.994,0.000,0.000,-11.567
2611,1,0.000,0.000,88.030,0.000,0.000,-11.318
2612,1,0.000,0.000,106.667,0.000,0.000,-21.743
2613,1,0.000,0.000,287.725,0.000,0.000,-58.812
2614,1,0.000,0.000,123.152,0.000,0.000,-24.956
2615,1,0.000,0.000,718.654,0.000,0.000,-117.014
2616,1,0.000,0.000,104.990,0.000,0.000,-21.629
2617,1,0.000,0.000,108.473,0.000,0.000,-22.485
2618,1,0.000,0.000,784.705,0.000,0.000,5.422
2619,1,0.000,0.000,-2466.528,0.000,0.000,0.000
2620,1,0.000,0.000,181.756,0.000,0.000,-15.454
2621,1,0.000,0.000,209.415,0.000,0.000,55.132
3101,1,0.000,0.000,313.580,0.000,0.000,-49.549
3102,1,0.000,0.000,145.724,0.000,0.000,-23.131
3103,1,0.000,0.000,380.419,0.000,0.000,-54.591
3104,1,0.000,0.000,283.512,0.000,0.000,-37.304
3105,1,0.000,0.000,215.372,0.000,0.000,-44.182
3201,1,0.000,0.000,417.176,0.000,0.000,-88.465
3202,1,0.000,0.000,528.943,0.000,0.000,-75.520
3203,1,0.000,0.000,592.543,0.000,0.000,-143.183
3204,1,0.000,0.000,595.949,0.000,0.000,-84.091
3205,1,0.000,0.000,492.201,0.000,0.000,-70.216
3302,1,0.000,0.000,316.377,0.000,0.000,-80.011
3303,1,0.000,0.000,562.870,0.000,0.000,-135.643
3304,1,0.000,0.000,485.777,0.000,0.000,-112.963
3305,1,0.000,0.000,389.689,0.000,0.000,-55.787
3401,1,0.000,0.000,523.259,0.000,0.000,-132.931
3403,1,0.000,0.000,464.372,0.000,0.000,-66.225
3404,1,0.000,0.000,400.370,0.000,0.000,-57.509
3405,1,0.000,0.000,423.026,0.000,0.000,-62.878
3501,1,0.000,0.000,562.514,0.000,0.000,-80.114
3601,1,0.000,0.000,92.975,0.000,0.000,-12.968
3701,1,0.000,0.000,317.051,0.000,0.000,-15.847
3801,1,0.000,0.000,164.062,0.000,0.000,-38.776
3804,1,0.000,0.000,201.824,0.000,0.000,-50.058
3805,1,0.000,0.000,434.251,0.000,0.000,-137.035
3806,1,0.000,0.000,255.767,0.000,0.000,-35.854
