name,unit,capacity[MW],Capacity Rating,start[y],retirement[y],latitude,longitude,county,state,type
Adelanto Solar,,20.0,MWac,2015.0,,34.5572,-117.3775,San Bernardino County,California,PV
Adera Solar,,20.0,MWac,2015.0,,37.1206,-120.3249,Madera County,California,PV
Adobe Solar,,20.0,MWac,2014.0,,35.1028,-118.9544,Kern County,California,PV
Agua Caliente Solar Project,1,91.0,MWac,2012.0,,32.9774,-113.4945,Yuma County,Arizona,PV
Agua Caliente Solar Project,2,136.0,MWac,2012.0,,32.9774,-113.4945,Yuma County,Arizona,PV
Agua Caliente Solar Project,3,121.0,MWac,2014.0,,32.9774,-113.4945,Yuma County,Arizona,PV
Airport Solar,,47.0,MWac,2019.0,,42.1702,-120.4023,Lake County,Oregon,PV
Alamo (California) solar farm,,20.0,MWac,2015.0,,34.685,-117.346,San Bernardino County,California,PV
Alpaugh solar farm,50,50.0,MWac,2012.0,,35.8983,-119.4353,Tulare County,California,PV
Alpaugh solar farm,North,20.0,MWac,2012.0,,35.9025,-119.4428,Tulare County,California,PV
Alpine Solar,1,66.0,MWac,2013.0,,34.7892,-118.5047,Los Angeles County,California,PV
Alta Luna solar farm,,28.0,MWac,2017.0,,32.573,-107.459,Luna County,New Mexico,PV
American Falls Solar,1,20.0,MWac,2017.0,,42.824,-112.752,Power County,Idaho,PV
American Falls Solar,2,20.0,MWac,2017.0,,42.824,-112.752,Power County,Idaho,PV
American Kings Solar,,128.0,MWac,2020.0,,36.2401,-119.898,Kings County,California,PV
Antelope Big Sky Ranch solar farm,,20.0,MWac,2016.0,,34.6948,-118.2877,Los Angeles County,California,PV
Antelope Dsr solar farm,1,50.0,MWac,2016.0,,34.6556,-118.2807,Los Angeles County,California,PV
Antelope Dsr solar farm,2,105.0,MWac,2018.0,,34.752,-118.315,Los Angeles County,California,PV
Antelope Dsr solar farm,3,20.0,MWac,2019.0,,34.74,-118.303,Los Angeles County,California,PV
Ap North Lake I solar farm,,20.0,MWac,2015.0,,33.7401,-117.0106,Riverside County,California,PV
Apache Solar 1,,20.0,MWac,2017.0,,32.0681,-109.8904,Cochise County,Arizona,PV
Apex Solar Power Project,,20.0,MWac,2012.0,,36.391,-114.964,Clark County,Nevada,PV
Arlington Energy Center (NextEra) solar farm,1,100.0,MWac,2022.0,,33.6909,-114.7749,Riverside County,California,PV
Arlington Energy Center (NextEra) solar farm,3,131.0,MWac,2022.0,,33.6909,-114.7749,Riverside County,California,PV
