name,unit,capacity[MW],start[y],retirement[y],latitude,longitude,county,state,type
251 wind farm,1,18.0,1987.0,2020.0,35.0758,-118.368,Kern County,California,WT
Alite wind farm,1,24.0,2008.0,,35.036,-118.3401,Kern County,California,WT
Alta Mesa wind farm,1&2,19.0,1988.0,2021.0,33.9384,-116.659,Riverside County,California,WT
Alta Wind Energy Center,1,150.0,2010.0,,35.0281,-118.364,Kern County,California,WT
Alta Wind Energy Center,2,150.0,2010.0,,35.0082,-118.234,Kern County,California,WT
Alta Wind Energy Center,3,150.0,2011.0,,35.006,-118.267,Kern County,California,WT
Alta Wind Energy Center,4,102.0,2011.0,,35.0208,-118.259,Kern County,California,WT
Alta Wind Energy Center,5,168.0,2011.0,,35.0012,-118.262,Kern County,California,WT
Alta Wind Energy Center,8,150.0,2012.0,,34.9836,-118.227,Kern County,California,WT
Alta Wind Energy Center,10,137.0,2013.0,,35.1098,-118.216,Kern County,California,WT
Alta Wind Energy Center,11,90.0,2013.0,,35.0735,-118.383,Kern County,California,WT
Altech III wind farm,1,22.0,1985.0,2020.0,33.8979,-116.598,Riverside County,California,WT
Andreson Wind Project,2,10.0,2014.0,,33.0139,-103.865,Chaves County,New Mexico,WT
Aragonne Wind Project,1,90.0,2006.0,2022.0,34.815,-105.081,Guadalupe County,New Mexico,WT
Aragonne Wind Project,2,145.0,2022.0,,34.8152,-105.0911,Guadalupe County,New Mexico,WT
Aragonne Wind Project,RP1,90.0,2022.0,,34.815,-105.081,Guadalupe County,New Mexico,WT
Bennett Creek wind farm,1,21.0,2008.0,,43.0447,-115.484,Elmore County,Idaho,WT
Benson Creek wind farm,1,10.0,2017.0,,44.4243,-117.277,Baker County,Oregon,WT
Big Horn Wind Project,1,200.0,2006.0,,45.9019,-120.263,Klickitat County,Washington,WT
Big Horn Wind Project,2,50.0,2010.0,,45.9467,-120.302,Klickitat County,Washington,WT
Big Timber wind farm,1,25.0,2018.0,,45.8189,-109.645,Sweet Grass County,Montana,WT
Biglow Canyon wind farm,1,125.0,2007.0,,45.6692,-120.585,Sherman County,Oregon,WT
Biglow Canyon wind farm,2,150.0,2009.0,,45.6335,-120.597,Sherman County,Oregon,WT
Biglow Canyon wind farm,3,175.0,2010.0,,45.6484,-120.548,Sherman County,Oregon,WT
Borderlands wind farm,1,100.0,2021.0,,34.1031,-108.9078,Catron County,New Mexico,WT
Brahms wind farm,1,20.0,2014.0,,34.7478,-103.269,Curry County,New Mexico,WT
Broadview Energy wind farm,1NM,241.0,2017.0,,34.7957,-103.071,Curry County,New Mexico,WT
Broadview Energy wind farm,1TX,83.0,2017.0,,34.832,-102.936,Curry County,New Mexico,WT
Bronco Plains wind farm,1,299.0,2020.0,,39.0463,-102.944,Kit Carson County,Colorado,WT
Brookfield Tehachapi wind farm,1,102.0,2012.0,,35.0644,-118.335,Kern County,California,WT
Brookfield Tehachapi wind farm,2,21.0,2012.0,,35.0452,-118.245,Kern County,California,WT
Buena Vista wind farm,1,38.0,2006.0,,37.8036,-121.655,Contra Costa County,California,WT
Burley Butte wind farm,1,20.0,2011.0,,42.4879,-113.926,Cassia County,Idaho,WT
Busch Ranch wind farm,1,29.0,2012.0,,37.7958,-104.488,Huerfano County,Colorado,WT
Busch Ranch wind farm,2,59.0,2019.0,,37.7611,-104.383,Las Animas County,Colorado,WT
Cabazon wind farm,1,40.0,1999.0,,33.911,-116.702,Riverside County,California,WT
Cabazon wind farm,2,41.0,2002.0,,33.9166,-116.729,Riverside County,California,WT
Cameron Ridge wind farm,1,60.0,1999.0,,35.0765,-118.313,Kern County,California,WT
Camp Reed wind farm,1,22.0,2010.0,,42.8173,-115.065,Elmore County,Idaho,WT
Campbell Hill wind farm,1,99.0,2009.0,,42.9993,-106.021,Converse County,Wyoming,WT
Caprock Wind Ranch,1,60.0,2004.0,,34.9652,-103.317,Quay County,New Mexico,WT
Caprock Wind Ranch,2,20.0,2005.0,,34.9844,-103.425,Quay County,New Mexico,WT
Carousel wind farm,1,150.0,2015.0,,39.3384,-102.1501,Kit Carson County,Colorado,WT
Casa Mesa wind farm,1,51.0,2018.0,,34.6308,-103.976,Quay County,New Mexico,WT
Casper wind farm,1,16.0,2009.0,,42.8833,-106.2201,Natrona County,Wyoming,WT
Cassia wind farm,1,19.0,2009.0,,42.8704,-115.018,Twin Falls County,Idaho,WT
Cassia wind farm,2,10.0,2009.0,,42.8444,-115.0369,Twin Falls County,Idaho,WT
