name,capacity[MW],start[y],retirement[y],latitude,longitude,county,state,type,unit
American Falls hydroelectric plant,92,1978.0,,42.7778,-112.876,Power County,Idaho,HT,
Balch 2 hydroelectric plant,97,1958.0,,36.9089,-119.088,Fresno County,California,HT,
Belden hydroelectric plant,118,1969.0,,40.0074,-121.249,Plumas County,California,HT,
Big Creek 1 hydroelectric plant,88,1913.0,,37.2042,-119.2401,Fresno County,California,HT,
Big Creek 2A hydroelectric plant,110,1928.0,,37.2001,-119.307,Fresno County,California,HT,
Big Creek 3 hydroelectric plant,175,1923.0,,37.1485,-119.387,Fresno County,California,HT,
Big Creek 4 hydroelectric plant,100,1951.0,,37.139,-119.4901,Madera County,California,HT,
Big Creek 8 hydroelectric plant,75,1921.0,,37.2096,-119.329,Fresno County,California,HT,
Bliss hydroelectric plant,75,1949.0,,42.9138,-115.071,Gooding County,Idaho,HT,
Blue Mesa hydroelectric plant,86,1967.0,,38.4532,-107.338,Gunnison County,Colorado,HT,
Bonneville hydroelectric plant,1162,1938.0,,45.6441,-121.941,Multnomah County,Oregon,HT,
Boundary hydroelectric plant,1119,1967.0,,48.9871,-117.348,Pend Oreille County,Washington,HT,
Box Canyon hydroelectric plant,90,1955.0,,48.7809,-117.418,Pend Oreille County,Washington,HT,
Brownlee hydroelectric plant,675,1958.0,,44.8367,-116.898,Washington County,Idaho,HT,
C. J. Strike hydroelectric plant,83,1952.0,,42.9449,-115.978,Owyhee County,Idaho,HT,
Cabin Creek hydroelectric plant,300,1967.0,,39.6551,-105.709,Clear Creek County,Colorado,HT,
Cabinet Gorge hydroelectric plant,265,1952.0,,48.0844,-116.053,Bonner County,Idaho,HT,
Camino hydroelectric plant,158,1963.0,,38.8288,-120.537,El Dorado County,California,HT,
Caribou 2 hydroelectric plant,118,1958.0,,40.086,-121.149,Plumas County,California,HT,
Carmen Smith hydroelectric plant,114,1963.0,,44.286,-122.041,Linn County,Oregon,HT,
Castaic hydroelectric plant,1682,1972.0,,34.5872,-118.657,Los Angeles County,California,HT,
Chief Joseph hydroelectric plant,2456,1955.0,,47.9951,-119.6401,Douglas County,Washington,HT,
Colgate hydroelectric plant,315,1969.0,,39.3308,-121.192,Yuba County,California,HT,
Collierville hydroelectric plant,253,1989.0,,38.1446,-120.381,Calaveras County,California,HT,
Cushman 2 hydroelectric plant,85,1930.0,,47.3698,-123.1601,Mason County,Washington,HT,
Davis Dam hydroelectric plant,255,1951.0,,35.197,-114.571,Mohave County,Arizona,HT,
Detroit Dam hydroelectric plant,100,1953.0,,44.7224,-122.251,Marion County,Oregon,HT,
Devil Canyon hydroelectric plant,276,1972.0,,34.2056,-117.334,San Bernardino County,California,HT,
Diablo hydroelectric plant,182,1936.0,,48.7138,-121.132,Whatcom County,Washington,HT,
Dion R. Holm hydroelectric plant,157,1960.0,,37.8966,-119.968,Tuolumne County,California,HT,
Don Pedro hydroelectric plant,171,1971.0,,37.696,-120.4201,Tuolumne County,California,HT,
Dworshak hydroelectric plant,465,1974.0,,46.5143,-116.298,Clearwater County,Idaho,HT,
Edward C. Hyatt hydroelectric plant,351,1968.0,,39.543,-121.492,Butte County,California,HT,
Edward C. Hyatt Pumped Storage hydroelectric plant,293,1968.0,,39.543,-121.492,Butte County,California,HT,
Electra hydroelectric plant,103,1948.0,,38.331,-120.6701,Amador County,California,HT,
Flaming Gorge hydroelectric plant,152,1963.0,,40.9146,-109.422,Daggett County,Utah,HT,
