name,unit,capacity[MW],type,start[y],retirement[y],latitude,longitude,county,state
Alvin W Vogtle nuclear power plant,1,1229.0,pressurized water reactor,1987.0,,33.13001,-81.7729,Burke County,Georgia
Alvin W Vogtle nuclear power plant,2,1229.0,pressurized water reactor,1989.0,,33.13001,-81.7729,Burke County,Georgia
Arkansas Nuclear One nuclear power plant,1,903.0,pressurized water reactor,1974.0,,35.311,-93.2351,Pope County,Arkansas
Arkansas Nuclear One nuclear power plant,2,1065.0,pressurized water reactor,1980.0,,35.311,-93.2351,Pope County,Arkansas
Beaver Valley nuclear power plant,1,959.0,pressurized water reactor,1976.0,,40.6219,-80.4336,Beaver County,Pennsylvania
Beaver Valley nuclear power plant,2,958.0,pressurized water reactor,1987.0,,40.6219,-80.4336,Beaver County,Pennsylvania
Braidwood nuclear power plant,1,1270.0,pressurized water reactor,1988.0,,41.2435,-88.2286,Will County,Illinois
Braidwood nuclear power plant,2,1230.0,pressurized water reactor,1988.0,,41.2435,-88.2286,Will County,Illinois
Browns Ferry nuclear power plant,1,1256.0,boiling water reactor,1974.0,,34.7042,-87.1189,Limestone County,Alabama
Browns Ferry nuclear power plant,2,1259.0,boiling water reactor,1975.0,,34.7042,-87.1189,Limestone County,Alabama
Browns Ferry nuclear power plant,3,1260.0,boiling water reactor,1977.0,,34.7042,-87.1189,Limestone County,Alabama
Brunswick nuclear power plant,1,990.0,boiling water reactor,1977.0,,33.9597,-78.0114,Brunswick County,North Carolina
Brunswick nuclear power plant,2,960.0,boiling water reactor,1975.0,,33.9597,-78.0114,Brunswick County,North Carolina
Byron nuclear power plant,1,1242.0,pressurized water reactor,1985.0,,42.0742,-89.2819,Ogle County,Illinois
Byron nuclear power plant,2,1210.0,pressurized water reactor,1987.0,,42.0742,-89.2819,Ogle County,Illinois
Callaway nuclear power plant,1,1275.0,pressurized water reactor,1984.0,,38.7589,-91.7788,Callaway County,Missouri
Calvert Cliffs nuclear power plant,1,918.0,pressurized water reactor,1975.0,,38.4344,-76.4417,Calvert County,Maryland
Calvert Cliffs nuclear power plant,2,911.0,pressurized water reactor,1977.0,,38.4344,-76.4417,Calvert County,Maryland
Catawba nuclear power plant,1,1188.0,pressurized water reactor,1985.0,,35.0514,-81.0694,York County,South Carolina
Catawba nuclear power plant,2,1188.0,pressurized water reactor,1986.0,,35.0514,-81.0694,York County,South Carolina
Clinton nuclear power plant,1,1098.0,boiling water reactor,1987.0,,40.1719,-88.8339,DeWitt County,Illinois
Columbia nuclear power plant,,1190.0,boiling water reactor,1984.0,,46.4711,-119.3339,Benton County,Washington
Comanche Peak nuclear power plant,1,1259.0,pressurized water reactor,1990.0,,32.2984,-97.7855,Somervell County,Texas
Comanche Peak nuclear power plant,2,1250.0,pressurized water reactor,1993.0,,32.2984,-97.7855,Somervell County,Texas
Cooper nuclear power plant,,801.0,boiling water reactor,1974.0,,40.3628,-95.6408,Nemaha County,Nebraska
Davis Besse nuclear power plant,1,925.0,pressurized water reactor,1978.0,,41.5967,-83.0861,Ottawa County,Ohio
Diablo Canyon nuclear power plant,1,1197.0,pressurized water reactor,1985.0,2024.0,35.2115,-120.8555,San Luis Obispo County,California
Diablo Canyon nuclear power plant,2,1197.0,pressurized water reactor,1986.0,2025.0,35.2115,-120.8555,San Luis Obispo County,California
Donald C Cook nuclear power plant,1,1131.0,pressurized water reactor,1975.0,,41.9756,-86.5652,Berrien County,Michigan
Donald C Cook nuclear power plant,2,1231.0,pressurized water reactor,1978.0,,41.9756,-86.5652,Berrien County,Michigan
Dresden nuclear power plant,2,950.0,boiling water reactor,1970.0,,41.3901,-88.2701,Grundy County,Illinois
